,Employment Matrix Title,Employment Matrix Code
196,Occupational therapy assistants,31-2011
197,Occupational therapy aides,31-2012
199,Physical therapist assistants,31-2021
200,Physical therapist aides,31-2022
202,Massage therapists,31-9011
204,Dental assistants,31-9091
205,Medical assistants,31-9092
206,Medical equipment preparers,31-9093
207,Medical transcriptionists,31-9094
208,Pharmacy aides,31-9095
209,Veterinary assistants and laboratory animal caretakers,31-9096
210,Phlebotomists,31-9097
211,"Healthcare support workers, all other",31-9099
214,First-line supervisors of retail sales workers,41-1011
215,First-line supervisors of non-retail sales workers,41-1012
218,Cashiers,41-2011
219,Gambling change persons and booth cashiers,41-2012
221,Counter and rental clerks,41-2021
222,Parts salespersons,41-2022
223,Retail salespersons,41-2031
225,Advertising sales agents,41-3011
226,Insurance sales agents,41-3021
227,"Securities, commodities, and financial services sales agents",41-3031
228,Travel agents,41-3041
229,"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091
231,"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011
232,"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012
235,Demonstrators and product promoters,41-9011
236,Models,41-9012
238,Real estate brokers,41-9021
239,Real estate sales agents,41-9022
240,Sales engineers,41-9031
241,Telemarketers,41-9041
243,"Door-to-door sales workers, news and street vendors, and related workers",41-9091
244,"Sales and related workers, all other",41-9099
