"Table 1.7 Occupational projections, 2019-29, and worker characteristics, 2019
Gambling managers,11-9071,Line item,5.1,5.6,0.5,8.8,11.4,0.6," $74,970 ",High school diploma or equivalent,Less than 5 years,None
Lodging managers,11-9081,Line item,57.2,50.6,-6.7,-11.7,31.1,4.5," $54,430 ",High school diploma or equivalent,Less than 5 years,None
Medical and health services managers,11-9111,Line item,422.3,555.5,133.2,31.5,2.8,47," $100,980 ",Bachelor's degree,Less than 5 years,None
Natural sciences managers,11-9121,Line item,71.4,74.8,3.4,4.8,—,4.9," $129,100 ",Bachelor's degree,5 years or more,None
Postmasters and mail superintendents,11-9131,Line item,13.4,10.5,-2.9,-21.9,0.7,0.5," $76,900 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Property, real estate, and community association managers",11-9141,Line item,367.9,368.7,0.8,0.2,37.9,26," $58,760 ",High school diploma or equivalent,Less than 5 years,None
Social and community service managers,11-9151,Line item,175.5,205.4,29.8,17.0,4.8,17.1," $67,150 ",Bachelor's degree,Less than 5 years,None
Emergency management directors,11-9161,Line item,10.4,10.9,0.5,4.5,—,0.7," $74,590 ",Bachelor's degree,5 years or more,None
Funeral home managers,11-9171,Line item,28.6,26.9,-1.6,-5.7,66.5,1.6," $76,350 ",Associate's degree,Less than 5 years,None
"Personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other",11-9198,Line item,"1,189.2","1,167.5",-21.7,-1.8,57.6,74.5," $110,630 ",Bachelor's degree,Less than 5 years,None
Business and financial operations occupations,13-0000,Summary,"9,016.3","9,492.5",476.2,5.3,4.5,813," $69,820 ",—,—,—
Business operations specialists,13-1000,Summary,"5,944.0","6,311.9",367.9,6.2,3.7,561.7," $68,730 ",—,—,—
"Agents and business managers of artists, performers, and athletes",13-1011,Line item,21.9,24.4,2.6,11.8,22.5,2.7," $73,740 ",Bachelor's degree,Less than 5 years,None
Buyers and purchasing agents,13-1020,Line item,449.3,409.7,-39.7,-8.8,3.5,36," $64,380 ",Bachelor's degree,None,Moderate-term on-the-job training
"Claims adjusters, appraisers, examiners, and investigators",13-1030,Summary,348.8,326.8,-22.0,-6.3,2.3,22.1," $66,540 ",—,—,—
"Claims adjusters, examiners, and investigators",13-1031,Line item,332.9,311.5,-21.4,-6.4,2.3,21," $66,790 ",High school diploma or equivalent,None,Long-term on-the-job training
"Insurance appraisers, auto damage",13-1032,Line item,15.9,15.3,-0.6,-4.0,2.8,1.1," $63,270 ",Postsecondary nondegree award,None,Moderate-term on-the-job training
Compliance officers,13-1041,Line item,337.6,353.2,15.6,4.6,0.6,27.7," $69,050 ",Bachelor's degree,None,Moderate-term on-the-job training
Cost estimators,13-1051,Line item,214.2,211.0,-3.2,-1.5,1.3,17.5," $65,250 ",Bachelor's degree,None,Moderate-term on-the-job training
Human resources workers,13-1070,Summary,746.2,787.8,41.6,5.6,1.5,70.7," $62,440 ",—,—,—
Human resources specialists,13-1071,Line item,666.5,713.5,46.9,7.0,1.5,64.5," $61,920 ",Bachelor's degree,None,None
Farm labor contractors,13-1074,Line item,0.8,0.9,0.1,10.4,—,0.1," $61,910 ",No formal educational credential,Less than 5 years,Short-term on-the-job training
Labor relations specialists,13-1075,Line item,78.9,73.5,-5.4,-6.8,1.7,6.1," $69,020 ",Bachelor's degree,Less than 5 years,None
Logisticians,13-1081,Line item,188.2,196.4,8.2,4.4,0.4,16.8," $74,750 ",Bachelor's degree,None,None
Management analysts,13-1111,Line item,876.3,970.2,93.8,10.7,14.8,87.1," $85,260 ",Bachelor's degree,Less than 5 years,None
"Meeting, convention, and event planners",13-1121,Line item,138.6,149.5,10.8,7.8,5.1,15.2," $50,600 ",Bachelor's degree,None,None
Fundraisers,13-1131,Line item,100.6,115.0,14.4,14.3,—,11.1," $57,970 ",Bachelor's degree,None,None
"Compensation, benefits, and job analysis specialists",13-1141,Line item,94.4,101.8,7.5,7.9,—,9," $64,560 ",Bachelor's degree,Less than 5 years,None
Training and development specialists,13-1151,Line item,327.9,356.1,28.2,8.6,0.7,33.7," $61,210 ",Bachelor's degree,Less than 5 years,None
Market research analysts and marketing specialists,13-1161,Line item,738.1,868.4,130.3,17.7,4.3,84.2," $63,790 ",Bachelor's degree,None,None
"Project management specialists and business operations specialists, all other",13-1198,Line item,"1,361.8","1,441.6",79.8,5.9,0.2,128," $73,570 ",Bachelor's degree,None,None
Financial specialists,13-2000,Summary,"3,072.3","3,180.6",108.3,3.5,6.0,251.3," $71,950 ",—,—,—
Accountants and auditors,13-2011,Line item,"1,436.1","1,497.9",61.7,4.3,6.0,125.7," $71,550 ",Bachelor's degree,None,None
Property appraisers and assessors,13-2020,Line item,75.1,77.3,2.2,2.9,23.0,5.4," $57,010 ",Bachelor's degree,None,Long-term on-the-job training
Budget analysts,13-2031,Line item,55.4,57.3,1.9,3.4,—,4.3," $76,540 ",Bachelor's degree,None,None
Credit analysts,13-2041,Line item,74.9,71.2,-3.6,-4.8,—,5.3," $73,650 ",Bachelor's degree,None,None
Personal financial advisors,13-2052,Line item,263.0,274.6,11.6,4.4,18.9,19.2," $87,850 ",Bachelor's degree,None,Long-term on-the-job training
Insurance underwriters,13-2053,Line item,114.7,107.6,-7.1,-6.2,—,7.3," $70,020 ",Bachelor's degree,None,Moderate-term on-the-job training
Financial examiners,13-2061,Line item,66.9,71.8,4.9,7.3,—,4.9," $81,090 ",Bachelor's degree,None,Long-term on-the-job training
Credit counselors and loan officers,13-2070,Summary,352.4,365.2,12.8,3.6,0.9,27.1," $61,090 ",—,—,—
Credit counselors,13-2071,Line item,35.6,38.3,2.7,7.6,0.7,2.9," $45,950 ",Bachelor's degree,None,Moderate-term on-the-job training
Loan officers,13-2072,Line item,316.9,327.0,10.1,3.2,0.9,24.2," $63,270 ",Bachelor's degree,None,Moderate-term on-the-job training
"Tax examiners, collectors and preparers, and revenue agents",13-2080,Summary,146.1,143.1,-2.9,-2.0,12.7,13.3," $49,590 ",—,—,—
"Tax examiners and collectors, and revenue agents",13-2081,Line item,57.6,55.3,-2.4,-4.1,—,4.2," $54,890 ",Bachelor's degree,None,Moderate-term on-the-job training
Tax preparers,13-2082,Line item,88.4,87.9,-0.6,-0.6,21.0,9.1," $43,080 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Financial and investment analysts, financial risk specialists, and financial specialists, all other",13-2098,Line item,487.8,514.6,26.8,5.5,1.9,38.6," $81,590 ",Bachelor's degree,None,None
Computer and mathematical occupations,15-0000,Summary,"4,845.1","5,432.4",587.4,12.1,2.2,382.9," $88,340 ",—,—,—
Computer occupations,15-1200,Summary,"4,633.4","5,164.6",531.2,11.5,2.2,362.6," $88,240 ",—,—,—
Computer and information analysts,15-1210,Summary,763.4,850.8,87.5,11.5,2.7,60," $92,360 ",—,—,—
Computer systems analysts,15-1211,Line item,632.4,679.0,46.6,7.4,3.0,46.2," $90,920 ",Bachelor's degree,None,None
Information security analysts,15-1212,Line item,131.0,171.9,40.9,31.2,0.8,13.9," $99,730 ",Bachelor's degree,Less than 5 years,None
Computer and information research scientists,15-1221,Line item,32.7,37.7,5.0,15.4,—,3," $122,840 ",Master's degree,None,None
Computer support specialists,15-1230,Summary,882.3,949.6,67.3,7.6,1.9,68.4," $54,760 ",—,—,—
Computer network support specialists,15-1231,Line item,195.1,207.7,12.6,6.4,2.0,14.8," $63,460 ",Associate's degree,None,None
Computer user support specialists,15-1232,Line item,687.2,741.9,54.8,8.0,1.9,53.6," $52,270 ","Some college, no degree",None,None
Database and network administrators and architects,15-1240,Summary,666.5,703.3,36.9,5.5,1.1,43.7," $91,390 ",—,—,—
Computer network architects,15-1241,Line item,160.1,168.1,8.0,5.0,2.0,10," $112,690 ",Bachelor's degree,5 years or more,None
Network and computer systems administrators,15-1244,Line item,373.9,389.9,16.0,4.3,1.0,23.8," $83,510 ",Bachelor's degree,None,None
Database administrators and architects,15-1245,Line item,132.5,145.3,12.8,9.7,0.2,9.9," $93,750 ",Bachelor's degree,None,None
"Software and web developers, programmers, and testers",15-1250,Summary,"1,857.4","2,167.3",309.9,16.7,2.2,155.2," $102,330 ",—,—,—
Computer programmers,15-1251,Line item,213.9,193.8,-20.1,-9.4,2.8,10.4," $86,550 ",Bachelor's degree,None,None
Software developers and software quality assurance analysts and testers,15-1256,Line item,"1,469.2","1,785.2",316.0,21.5,1.2,131.4," $107,510 ",Bachelor's degree,None,None
Web developers and digital interface designers,15-1257,Line item,174.3,188.3,14.0,8.0,9.8,13.4," $73,760 ",Associate's degree,None,None
"Computer occupations, all other",15-1299,Line item,431.1,455.8,24.7,5.7,3.9,32.3," $88,550 ",Bachelor's degree,None,None
Mathematical science occupations,15-2000,Summary,211.7,267.8,56.1,26.5,1.6,20.2," $90,410 ",—,—,—
Actuaries,15-2011,Line item,27.7,32.6,4.9,17.6,4.2,2," $108,350 ",Bachelor's degree,None,Long-term on-the-job training
Mathematicians,15-2021,Line item,2.9,3.0,0.1,3.0,—,0.2," $105,030 ",Master's degree,None,None
Operations research analysts,15-2031,Line item,105.1,131.3,26.1,24.8,0.2,9.6," $84,810 ",Bachelor's degree,None,None
Statisticians,15-2041,Line item,42.7,57.5,14.8,34.6,2.5,4.9," $91,160 ",Master's degree,None,None
"Data scientists and mathematical science occupations, all other",15-2098,Line item,33.2,43.4,10.3,30.9,3.0,3.6," $94,280 ",Bachelor's degree,None,None
Architecture and engineering occupations,17-0000,Summary,"2,728.9","2,803.7",74.8,2.7,2.9,193.6," $81,440 ",—,—,—
"Architects, surveyors, and cartographers",17-1000,Summary,214.3,216.0,1.8,0.8,13.7,14.8," $74,520 ",—,—,—
"Architects, except naval",17-1010,Summary,154.4,154.8,0.5,0.3,17.2,10.2," $78,890 ",—,—,—
"Architects, except landscape and naval",17-1011,Line item,129.9,130.9,1.1,0.8,17.3,8.7," $80,750 ",Bachelor's degree,None,Internship/residency
Landscape architects,17-1012,Line item,24.5,23.9,-0.6,-2.4,16.7,1.5," $69,360 ",Bachelor's degree,None,Internship/residency
"Surveyors, cartographers, and photogrammetrists",17-1020,Summary,59.9,61.2,1.3,2.1,4.7,4.6," $63,880 ",—,—,—
Cartographers and photogrammetrists,17-1021,Line item,12.0,12.5,0.5,4.5,3.0,0.9," $65,470 ",Bachelor's degree,None,None
Surveyors,17-1022,Line item,48.0,48.7,0.8,1.6,5.1,3.6," $63,420 ",Bachelor's degree,None,Internship/residency
Engineers,17-2000,Summary,"1,810.1","1,879.1",69.0,3.8,2.0,117.5," $94,500 ",—,—,—
Aerospace engineers,17-2011,Line item,66.4,68.2,1.9,2.8,1.2,3.9," $116,500 ",Bachelor's degree,None,None
Agricultural engineers,17-2021,Line item,1.7,1.7,0.0,1.6,5.0,0.1," $80,720 ",Bachelor's degree,None,None
Bioengineers and biomedical engineers,17-2031,Line item,21.2,22.2,1.0,4.7,2.6,1.4," $91,410 ",Bachelor's degree,None,None
Chemical engineers,17-2041,Line item,32.6,34.0,1.4,4.4,5.4,2," $108,770 ",Bachelor's degree,None,None
Civil engineers,17-2051,Line item,329.2,334.7,5.5,1.7,3.6,22.9," $87,060 ",Bachelor's degree,None,None
Computer hardware engineers,17-2061,Line item,71.1,72.2,1.1,1.6,1.6,4.9," $117,220 ",Bachelor's degree,None,None
Electrical and electronics engineers,17-2070,Summary,328.1,338.9,10.8,3.3,1.7,20.7," $101,250 ",—,—,—
Electrical engineers,17-2071,Line item,193.1,202.1,9.0,4.6,1.8,12.5," $98,530 ",Bachelor's degree,None,None
"Electronics engineers, except computer",17-2072,Line item,134.9,136.8,1.9,1.4,1.6,8.2," $105,570 ",Bachelor's degree,None,None
Environmental engineers,17-2081,Line item,55.8,57.6,1.7,3.1,2.0,3.7," $88,860 ",Bachelor's degree,None,None
"Industrial engineers, including health and safety",17-2110,Summary,322.3,353.3,31.0,9.6,—,23," $88,240 ",—,—,—
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,26.4,27.5,1.0,3.9,—,1.7," $91,410 ",Bachelor's degree,None,None
Industrial engineers,17-2112,Line item,295.8,325.8,30.0,10.1,—,21.3," $88,020 ",Bachelor's degree,None,None
Marine engineers and naval architects,17-2121,Line item,11.8,12.0,0.2,1.5,—,0.6," $92,400 ",Bachelor's degree,None,None
Materials engineers,17-2131,Line item,27.5,27.9,0.4,1.5,—,1.5," $93,360 ",Bachelor's degree,None,None
Mechanical engineers,17-2141,Line item,316.3,328.7,12.4,3.9,1.0,19.2," $88,430 ",Bachelor's degree,None,None
"Mining and geological engineers, including mining safety engineers",17-2151,Line item,6.3,6.6,0.3,4.2,—,0.4," $91,160 ",Bachelor's degree,None,None
Nuclear engineers,17-2161,Line item,16.4,14.3,-2.1,-12.6,—,0.7," $113,460 ",Bachelor's degree,None,None
Petroleum engineers,17-2171,Line item,33.4,34.4,1.1,3.2,—,2.1," $137,720 ",Bachelor's degree,None,None
"Engineers, all other",17-2199,Line item,170.1,172.3,2.2,1.3,6.1,10.3," $99,040 ",Bachelor's degree,None,None
"Drafters, engineering technicians, and mapping technicians",17-3000,Summary,704.6,708.6,4.0,0.6,1.7,61.3," $57,690 ",—,—,—
Drafters,17-3010,Summary,200.9,193.7,-7.1,-3.5,2.9,16.4," $56,830 ",—,—,—
Architectural and civil drafters,17-3011,Line item,102.9,100.3,-2.6,-2.5,2.9,8.5," $56,340 ",Associate's degree,None,None
Electrical and electronics drafters,17-3012,Line item,25.3,25.4,0.1,0.5,2.9,2.2," $61,530 ",Associate's degree,None,None
Mechanical drafters,17-3013,Line item,57.5,52.7,-4.7,-8.3,3.0,4.3," $57,060 ",Associate's degree,None,None
"Drafters, all other",17-3019,Line item,15.2,15.3,0.1,0.6,2.9,1.3," $52,830 ",Associate's degree,None,None
"Engineering technologists and technicians, except drafters",17-3020,Summary,353.7,362.5,8.8,2.5,0.3,30.6," $59,620 ",—,—,—
Aerospace engineering and operations technologists and technicians,17-3021,Line item,11.9,12.7,0.8,7.0,—,1.1," $66,020 ",Associate's degree,None,None
Civil engineering technologists and technicians,17-3022,Line item,70.9,72.7,1.8,2.5,0.2,6.1," $53,410 ",Associate's degree,None,None
Electrical and electronic engineering technologists and technicians,17-3023,Line item,125.8,127.8,1.9,1.5,0.3,10.7," $65,260 ",Associate's degree,None,None
Electro-mechanical and mechatronics technologists and technicians,17-3024,Line item,14.6,15.1,0.4,3.0,0.4,1.3," $58,350 ",Associate's degree,None,None
Environmental engineering technologists and technicians,17-3025,Line item,18.5,19.9,1.4,7.5,0.3,1.7," $50,620 ",Associate's degree,None,None
Industrial engineering technologists and technicians,17-3026,Line item,68.5,69.5,1.0,1.5,0.4,5.8," $56,550 ",Associate's degree,None,None
Mechanical engineering technologists and technicians,17-3027,Line item,43.5,44.9,1.4,3.1,0.4,3.8," $56,980 ",Associate's degree,None,None
Surveying and mapping technicians,17-3031,Line item,58.4,58.8,0.4,0.7,8.4,6.4," $45,010 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Calibration technologists and technicians and engineering technologists and technicians, except drafters, all other",17-3098,Line item,91.6,93.6,2.0,2.1,0.3,7.9," $62,990 ",Associate's degree,None,None
"Life, physical, and social science occupations",19-0000,Summary,"1,460.3","1,528.5",68.2,4.7,6.1,126.9," $68,160 ",—,—,—
Life scientists,19-1000,Summary,344.8,361.4,16.6,4.8,1.6,29.2," $78,080 ",—,—,—
Agricultural and food scientists,19-1010,Summary,34.8,36.8,2.0,5.7,0.2,3.6," $65,160 ",—,—,—
Animal scientists,19-1011,Line item,2.8,3.0,0.2,5.5,—,0.3," $60,300 ",Bachelor's degree,None,None
Food scientists and technologists,19-1012,Line item,14.2,14.9,0.6,4.4,—,1.4," $68,970 ",Bachelor's degree,None,None
Soil and plant scientists,19-1013,Line item,17.8,19.0,1.2,6.8,—,1.9," $63,200 ",Bachelor's degree,None,None
Biological scientists,19-1020,Summary,120.6,124.4,3.8,3.2,2.4,10," $79,580 ",—,—,—
Biochemists and biophysicists,19-1021,Line item,34.6,36.0,1.4,4.0,3.7,2.9," $94,490 ",Doctoral or professional degree,None,None
Microbiologists,19-1022,Line item,20.2,20.9,0.6,3.1,2.7,1.7," $75,650 ",Bachelor's degree,None,None
Zoologists and wildlife biologists,19-1023,Line item,21.0,21.8,0.8,3.9,1.0,1.8," $63,270 ",Bachelor's degree,None,None
"Biological scientists, all other",19-1029,Line item,44.7,45.7,1.0,2.2,1.9,3.6," $82,220 ",Bachelor's degree,None,None
Conservation scientists and foresters,19-1030,Summary,36.1,37.8,1.7,4.7,4.0,3.3," $62,410 ",—,—,—
Conservation scientists,19-1031,Line item,24.5,25.8,1.2,5.1,3.4,2.3," $62,660 ",Bachelor's degree,None,None
Foresters,19-1032,Line item,11.6,12.0,0.4,3.8,5.4,1.1," $61,790 ",Bachelor's degree,None,None
Medical scientists,19-1040,Summary,146.2,155.0,8.8,6.0,0.7,11.8," $87,290 ",—,—,—
Epidemiologists,19-1041,Line item,8.0,8.3,0.4,4.6,—,0.6," $70,990 ",Master's degree,None,None
"Medical scientists, except epidemiologists",19-1042,Line item,138.3,146.7,8.4,6.1,0.7,11.2," $88,790 ",Doctoral or professional degree,None,None
"Life scientists, all other",19-1099,Line item,7.0,7.4,0.3,4.6,—,0.6," $75,910 ",Bachelor's degree,None,None
Physical scientists,19-2000,Summary,276.6,291.4,14.7,5.3,2.6,24.3," $81,270 ",—,—,—
Astronomers and physicists,19-2010,Summary,20.5,21.9,1.4,6.8,—,1.4," $122,220 ",—,—,—
Astronomers,19-2011,Line item,2.3,2.4,0.1,2.4,—,0.1," $114,590 ",Doctoral or professional degree,None,None
Physicists,19-2012,Line item,18.2,19.5,1.3,7.3,—,1.3," $122,850 ",Doctoral or professional degree,None,None
Atmospheric and space scientists,19-2021,Line item,9.9,10.6,0.6,6.4,—,0.9," $95,380 ",Bachelor's degree,None,None
Chemists and materials scientists,19-2030,Summary,93.7,98.0,4.3,4.6,0.3,7.9," $78,790 ",—,—,—
Chemists,19-2031,Line item,86.7,90.8,4.1,4.7,0.3,7.3," $77,630 ",Bachelor's degree,None,None
Materials scientists,19-2032,Line item,7.0,7.2,0.2,3.4,—,0.6," $96,810 ",Bachelor's degree,None,None
Environmental scientists and geoscientists,19-2040,Summary,129.7,138.8,9.0,7.0,3.6,12.5," $75,830 ",—,—,—
"Environmental scientists and specialists, including health",19-2041,Line item,90.9,98.0,7.1,7.8,3.3,8.9," $71,360 ",Bachelor's degree,None,None
"Geoscientists, except hydrologists and geographers",19-2042,Line item,31.8,33.4,1.6,4.9,4.6,3," $92,040 ",Bachelor's degree,None,None
Hydrologists,19-2043,Line item,7.0,7.3,0.4,5.3,2.4,0.7," $81,270 ",Bachelor's degree,None,None
"Physical scientists, all other",19-2099,Line item,22.8,22.1,-0.7,-3.0,9.9,1.5," $109,910 ",Bachelor's degree,None,None
Social scientists and related workers,19-3000,Summary,326.9,340.8,13.9,4.3,20.3,24.2," $80,220 ",—,—,—
Economists,19-3011,Line item,20.5,23.5,2.9,14.1,1.4,1.6," $105,020 ",Master's degree,None,None
Survey researchers,19-3022,Line item,12.2,11.7,-0.4,-3.7,14.8,1.1," $59,170 ",Master's degree,None,None
Psychologists,19-3030,Summary,192.3,198.1,5.7,3.0,31.5,11.8," $80,370 ",—,—,—
"Clinical, counseling, and school psychologists",19-3031,Line item,171.5,176.7,5.3,3.1,32.5,10.5," $78,200 ",Doctoral or professional degree,None,Internship/residency
Industrial-organizational psychologists,19-3032,Line item,1.1,1.1,0.0,2.5,40.9,0.1," $92,880 ",Master's degree,None,Internship/residency
"Psychologists, all other",19-3039,Line item,19.8,20.2,0.4,2.3,22.1,1.2," $101,790 ",Master's degree,None,Internship/residency
Sociologists,19-3041,Line item,3.2,3.3,0.1,3.6,11.0,0.3," $83,420 ",Master's degree,None,None
Urban and regional planners,19-3051,Line item,39.7,44.1,4.4,11.0,—,3.7," $74,350 ",Master's degree,None,None
Miscellaneous social scientists and related workers,19-3090,Summary,58.9,60.1,1.2,2.0,5.8,5.6," $81,880 ",—,—,—
Anthropologists and archeologists,19-3091,Line item,8.0,8.4,0.4,5.2,11.4,0.8," $63,670 ",Master's degree,None,None
Geographers,19-3092,Line item,1.6,1.6,0.0,-1.2,—,0.1," $81,540 ",Bachelor's degree,None,None
Historians,19-3093,Line item,3.5,3.6,0.1,2.6,6.8,0.3," $63,680 ",Master's degree,None,None
Political scientists,19-3094,Line item,7.0,7.4,0.4,6.1,6.8,0.7," $122,220 ",Master's degree,None,None
"Social scientists and related workers, all other",19-3099,Line item,38.8,39.1,0.3,0.8,4.6,3.6," $83,330 ",Bachelor's degree,None,None
"Life, physical, and social science technicians",19-4000,Summary,389.5,407.6,18.1,4.7,1.4,42.5," $48,230 ",—,—,—
Agricultural and food science technicians,19-4010,Line item,24.2,25.1,1.0,4.1,1.5,2.8," $41,230 ",Associate's degree,None,Moderate-term on-the-job training
Biological technicians,19-4021,Line item,87.5,91.8,4.3,4.9,0.9,9.4," $45,860 ",Bachelor's degree,None,None
Chemical technicians,19-4031,Line item,68.1,70.0,1.9,2.8,1.2,6.3," $49,260 ",Associate's degree,None,Moderate-term on-the-job training
Environmental science and geoscience technicians,19-4040,Summary,53.7,57.7,4.0,7.4,3.6,5.9," $47,760 ",—,—,—
"Environmental science and protection technicians, including health",19-4042,Line item,34.7,37.6,2.9,8.4,1.4,4.3," $46,540 ",Associate's degree,None,None
Geological and hydrologic technicians,19-4045,Line item,19.0,20.1,1.0,5.5,7.5,1.6," $51,130 ",Associate's degree,None,Moderate-term on-the-job training
Nuclear technicians,19-4051,Line item,6.7,5.4,-1.3,-18.9,2.1,0.5," $82,080 ",Associate's degree,None,Moderate-term on-the-job training
Social science research assistants,19-4061,Line item,40.1,42.4,2.3,5.8,1.3,4.8," $47,510 ",Bachelor's degree,None,None
Forest and conservation technicians,19-4071,Line item,21.2,21.3,0.1,0.6,—,2.3," $45,500 ",Associate's degree,None,None
"Miscellaneous life, physical, and social science technicians",19-4090,Summary,88.1,93.9,5.8,6.5,1.1,10.6," $52,090 ",—,—,—
Forensic science technicians,19-4092,Line item,17.2,19.6,2.4,14.1,—,2.3," $59,150 ",Bachelor's degree,None,Moderate-term on-the-job training
"Life, physical, and social science technicians, all other",19-4099,Line item,71.0,74.3,3.4,4.7,1.4,8.3," $50,550 ",Associate's degree,None,None
Occupational health and safety specialists and technicians,19-5000,Summary,122.6,127.4,4.8,4.0,4.1,6.7," $70,480 ",—,—,—
Occupational health and safety specialists,19-5011,Line item,100.5,104.3,3.8,3.8,4.0,5.5," $74,100 ",Bachelor's degree,None,None
Occupational health and safety technicians,19-5012,Line item,22.1,23.1,1.0,4.8,4.4,1.2," $51,550 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Community and social service occupations,21-0000,Summary,"2,797.7","3,146.3",348.6,12.5,2.2,309.9," $46,090 ",—,—,—
"Counselors, social workers, and other community and social service specialists",21-1000,Summary,"2,331.3","2,663.0",331.7,14.2,2.5,259.6," $46,060 ",—,—,—
Counselors,21-1010,Summary,868.4,"1,005.1",136.7,15.7,5.8,95.8," $48,780 ",—,—,—
