,Area_Code,State,Occupation_Code,Occupation_Title,Total_Employment,Mean_Hourly_Income,Hourly_10th_Percentile,Hourly_25th_Percentile,Median_Hourly_Income,Hourly_75th_Percentile,Hourly_90th_Percentile,Mean_Annual_Income,Annual_10th_Percentile,Annual_25th_Percentile,Median_Annual_Income,Annual_75th_Percentile,Annual_90th_Percentile,Latitude,Longitude
41,1,Alabama,25-1072,"Nursing Instructors and Teachers, Postsecondary","1,240",*,*,*,*,*,*,"71,020","30,510","51,840","69,360","91,070","111,060",32.31823,-86.902298
42,1,Alabama,25-1081,"Education Teachers, Postsecondary",810,*,*,*,*,*,*,"74,580","45,470","56,410","68,310","83,870","109,200",32.31823,-86.902298
43,1,Alabama,25-1082,"Library Science Teachers, Postsecondary",160,*,*,*,*,*,*,"84,870","52,720","58,540","70,430","86,700","106,830",32.31823,-86.902298
44,1,Alabama,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",120,*,*,*,*,*,*,"69,900","42,020","54,030","68,180","80,630","108,790",32.31823,-86.902298
45,1,Alabama,25-1112,"Law Teachers, Postsecondary",70,*,*,*,*,*,*,"151,350","86,350","105,460","126,800","185,480",#,32.31823,-86.902298
46,1,Alabama,25-1113,"Social Work Teachers, Postsecondary",200,*,*,*,*,*,*,"67,920","44,530","53,440","61,780","77,360","100,670",32.31823,-86.902298
47,1,Alabama,25-1121,"Art, Drama, and Music Teachers, Postsecondary",840,*,*,*,*,*,*,"67,240","41,550","50,410","61,560","78,000","98,670",32.31823,-86.902298
48,1,Alabama,25-1122,"Communications Teachers, Postsecondary",270,*,*,*,*,*,*,"64,140","40,510","49,360","59,990","74,920","97,360",32.31823,-86.902298
49,1,Alabama,25-1123,"English Language and Literature Teachers, Postsecondary","1,100",*,*,*,*,*,*,"59,230","40,610","46,460","56,660","68,530","82,560",32.31823,-86.902298
50,1,Alabama,25-1124,"Foreign Language and Literature Teachers, Postsecondary",120,*,*,*,*,*,*,"63,310","40,550","48,780","59,410","73,660","86,960",32.31823,-86.902298
51,1,Alabama,25-1125,"History Teachers, Postsecondary",370,*,*,*,*,*,*,"68,830","44,330","53,970","64,920","77,540","95,160",32.31823,-86.902298
52,1,Alabama,25-1126,"Philosophy and Religion Teachers, Postsecondary",160,*,*,*,*,*,*,"64,990","37,650","48,030","60,810","74,930","96,320",32.31823,-86.902298
53,1,Alabama,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",150,*,*,*,*,*,*,"74,750","51,880","64,040","73,470","85,020","99,290",32.31823,-86.902298
54,1,Alabama,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",290,*,*,*,*,*,*,"66,730","41,290","53,060","65,070","78,550","98,260",32.31823,-86.902298
55,1,Alabama,25-1194,"Career/Technical Education Teachers, Postsecondary","1,840",25.79,14.13,19.25,25.87,30.57,37.31,"53,650","29,390","40,030","53,820","63,580","77,610",32.31823,-86.902298
56,1,Alabama,25-1199,"Postsecondary Teachers, All Other","1,600",*,*,*,*,*,*,"51,230","16,980","18,450","40,170","71,490","89,020",32.31823,-86.902298
57,1,Alabama,25-2011,"Preschool Teachers, Except Special Education","4,050",11.76,7.88,8.60,10.29,13.40,18.11,"24,470","16,390","17,890","21,390","27,870","37,680",32.31823,-86.902298
58,1,Alabama,25-2012,"Kindergarten Teachers, Except Special Education",**,*,*,*,*,*,*,"46,190","35,170","40,850","45,840","50,930","60,090",32.31823,-86.902298
59,1,Alabama,25-2021,"Elementary School Teachers, Except Special Education","23,650",*,*,*,*,*,*,"50,270","38,520","43,850","51,170","58,220","62,440",32.31823,-86.902298
60,1,Alabama,25-2022,"Middle School Teachers, Except Special and Career/Technical Education","10,310",*,*,*,*,*,*,"51,600","40,060","45,200","52,830","59,070","62,820",32.31823,-86.902298
61,1,Alabama,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education","15,230",*,*,*,*,*,*,"51,950","39,960","44,820","52,240","59,190","63,490",32.31823,-86.902298
62,1,Alabama,25-2032,"Career/Technical Education Teachers, Secondary School",**,*,*,*,*,*,*,"63,600","40,050","46,830","58,420","86,390","96,380",32.31823,-86.902298
63,1,Alabama,25-2051,"Special Education Teachers, Preschool",150,*,*,*,*,*,*,"46,820","33,350","38,790","46,950","56,050","61,830",32.31823,-86.902298
64,1,Alabama,25-2052,"Special Education Teachers, Kindergarten and Elementary School",900,*,*,*,*,*,*,"50,520","33,310","43,400","52,550","59,360","63,510",32.31823,-86.902298
65,1,Alabama,25-2057,"Special Education Teachers, Middle School",410,*,*,*,*,*,*,"53,730","39,380","48,050","54,990","60,260","63,460",32.31823,-86.902298
66,1,Alabama,25-2058,"Special Education Teachers, Secondary School",560,*,*,*,*,*,*,"48,250","29,850","39,140","50,630","58,230","62,730",32.31823,-86.902298
67,1,Alabama,25-2059,"Special Education Teachers, All Other",50,*,*,*,*,*,*,"59,530","39,710","53,140","61,230","69,380","73,460",32.31823,-86.902298
68,1,Alabama,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",520,18.71,8.90,10.99,18.28,24.66,29.55,"38,920","18,510","22,850","38,020","51,290","61,460",32.31823,-86.902298
69,1,Alabama,25-3021,Self-Enrichment Teachers,"1,880",20.80,9.37,12.82,18.51,27.51,36.14,"43,270","19,490","26,670","38,490","57,220","75,170",32.31823,-86.902298
70,1,Alabama,25-3031,"Substitute Teachers, Short-Term","7,580",9.50,7.75,8.09,8.66,9.23,9.75,"19,760","16,110","16,820","18,010","19,190","20,280",32.31823,-86.902298
71,1,Alabama,25-3097,"Tutors and Teachers and Instructors, All Other","3,210",*,*,*,*,*,*,"47,630","19,770","27,450","48,830","61,830","77,320",32.31823,-86.902298
72,1,Alabama,25-4011,Archivists,70,24.29,13.83,17.28,20.67,30.63,36.19,"50,530","28,770","35,950","42,990","63,720","75,280",32.31823,-86.902298
73,1,Alabama,25-4012,Curators,110,27.80,17.39,21.17,26.91,31.92,39.07,"57,830","36,180","44,040","55,960","66,400","81,260",32.31823,-86.902298
74,1,Alabama,25-4013,Museum Technicians and Conservators,100,20.67,13.13,15.60,20.17,24.03,30.01,"43,000","27,320","32,440","41,950","49,980","62,420",32.31823,-86.902298
75,1,Alabama,25-4022,Librarians and Media Collections Specialists,"2,540",25.33,15.04,22.24,26.70,29.43,31.58,"52,690","31,290","46,260","55,530","61,220","65,680",32.31823,-86.902298
76,1,Alabama,25-4031,Library Technicians,940,14.94,9.45,11.14,14.09,17.94,22.21,"31,070","19,660","23,170","29,310","37,310","46,190",32.31823,-86.902298
77,1,Alabama,25-9021,Farm and Home Management Educators,420,27.72,16.92,20.93,27.24,34.45,39.60,"57,660","35,200","43,540","56,650","71,650","82,360",32.31823,-86.902298
78,1,Alabama,25-9031,Instructional Coordinators,"1,870",33.31,15.23,24.99,34.66,42.33,48.09,"69,290","31,670","51,980","72,090","88,050","100,030",32.31823,-86.902298
79,1,Alabama,25-9044,"Teaching Assistants, Postsecondary",340,*,*,*,*,*,*,"30,260","16,600","18,610","28,520","38,430","47,300",32.31823,-86.902298
80,1,Alabama,25-9045,"Teaching Assistants, Except Postsecondary","9,140",*,*,*,*,*,*,"21,800","16,590","18,120","20,840","24,090","29,140",32.31823,-86.902298
81,1,Alabama,25-9099,"Educational Instruction and Library Workers, All Other","1,820",19.90,8.25,9.26,16.18,23.93,30.14,"41,390","17,160","19,260","33,660","49,770","62,680",32.31823,-86.902298
82,1,Alabama,29-1011,Chiropractors,310,42.92,18.70,23.02,34.87,50.23,77.80,"89,280","38,890","47,880","72,540","104,490","161,830",32.31823,-86.902298
83,1,Alabama,29-1021,"Dentists, General","1,170",75.50,31.46,49.96,69.14,94.60,#,"157,040","65,430","103,920","143,810","196,770",#,32.31823,-86.902298
84,1,Alabama,29-1031,Dietitians and Nutritionists,750,26.95,19.68,22.51,26.91,31.31,36.39,"56,050","40,930","46,810","55,960","65,130","75,700",32.31823,-86.902298
85,1,Alabama,29-1041,Optometrists,460,55.48,20.08,32.71,49.09,69.22,95.35,"115,400","41,770","68,040","102,100","143,970","198,330",32.31823,-86.902298
86,1,Alabama,29-1051,Pharmacists,"4,700",61.28,49.28,54.24,60.62,69.62,77.27,"127,460","102,500","112,820","126,100","144,820","160,710",32.31823,-86.902298
87,1,Alabama,29-1071,Physician Assistants,730,43.31,19.05,39.24,44.44,49.47,61.43,"90,080","39,630","81,610","92,430","102,900","127,770",32.31823,-86.902298
88,1,Alabama,29-1081,Podiatrists,100,68.84,28.71,43.67,60.61,77.04,#,"143,180","59,720","90,830","126,070","160,240",#,32.31823,-86.902298
89,1,Alabama,29-1122,Occupational Therapists,"1,310",41.23,27.53,33.55,40.82,48.58,58.19,"85,760","57,250","69,780","84,900","101,040","121,040",32.31823,-86.902298
90,1,Alabama,29-1123,Physical Therapists,"2,770",44.51,30.29,35.79,43.73,53.36,61.74,"92,570","63,000","74,450","90,960","110,990","128,420",32.31823,-86.902298
91,1,Alabama,29-1124,Radiation Therapists,490,42.25,25.09,31.76,36.78,45.19,58.18,"87,880","52,200","66,060","76,500","94,000","121,020",32.31823,-86.902298
92,1,Alabama,29-1125,Recreational Therapists,140,21.11,13.68,16.55,20.50,25.38,29.52,"43,900","28,460","34,420","42,640","52,800","61,410",32.31823,-86.902298
93,1,Alabama,29-1126,Respiratory Therapists,"2,240",25.06,18.89,21.15,24.30,28.86,33.17,"52,110","39,280","43,990","50,550","60,030","68,990",32.31823,-86.902298
94,1,Alabama,29-1127,Speech-Language Pathologists,"1,700",32.81,21.61,25.65,29.57,38.27,49.26,"68,230","44,960","53,360","61,510","79,590","102,470",32.31823,-86.902298
95,1,Alabama,29-1128,Exercise Physiologists,80,22.46,16.11,19.76,22.01,24.34,29.46,"46,720","33,510","41,110","45,780","50,630","61,280",32.31823,-86.902298
96,1,Alabama,29-1129,"Therapists, All Other",80,22.51,16.00,17.26,19.77,26.41,29.70,"46,820","33,270","35,900","41,120","54,930","61,780",32.31823,-86.902298
97,1,Alabama,29-1131,Veterinarians,980,47.50,25.43,32.31,43.51,56.87,76.25,"98,790","52,890","67,210","90,510","118,290","158,610",32.31823,-86.902298
98,1,Alabama,29-1141,Registered Nurses,"49,190",28.96,20.84,24.02,28.27,33.40,38.26,"60,230","43,350","49,960","58,800","69,480","79,590",32.31823,-86.902298
99,1,Alabama,29-1151,Nurse Anesthetists,"1,200",75.69,43.36,62.28,74.85,89.86,#,"157,430","90,190","129,530","155,680","186,920",#,32.31823,-86.902298
100,1,Alabama,29-1171,Nurse Practitioners,"3,800",47.87,34.45,41.17,46.38,54.13,62.15,"99,570","71,660","85,630","96,470","112,600","129,270",32.31823,-86.902298
101,1,Alabama,29-1181,Audiologists,110,34.98,24.62,27.78,34.69,41.49,47.91,"72,760","51,210","57,790","72,160","86,300","99,660",32.31823,-86.902298
102,1,Alabama,29-1211,Anesthesiologists,270,131.86,75.84,#,#,#,#,"274,260","157,740",#,#,#,#,32.31823,-86.902298
103,1,Alabama,29-1215,Family Medicine Physicians,730,113.49,55.34,79.24,#,#,#,"236,060","115,110","164,810",#,#,#,32.31823,-86.902298
104,1,Alabama,29-1216,General Internal Medicine Physicians,220,102.78,39.58,61.89,#,#,#,"213,790","82,340","128,730",#,#,#,32.31823,-86.902298
105,1,Alabama,29-1218,Obstetricians and Gynecologists,150,#,#,#,#,#,#,#,#,#,#,#,#,32.31823,-86.902298
106,1,Alabama,29-1221,"Pediatricians, General",490,102.99,42.01,67.63,99.72,#,#,"214,220","87,370","140,670","207,420",#,#,32.31823,-86.902298
107,1,Alabama,29-1223,Psychiatrists,230,80.93,47.01,65.71,73.29,92.09,#,"168,340","97,780","136,670","152,430","191,540",#,32.31823,-86.902298
108,1,Alabama,29-1228,"Physicians, All Other; and Ophthalmologists, Except Pediatric","4,650",94.54,27.58,51.55,94.11,#,#,"196,650","57,370","107,230","195,750",#,#,32.31823,-86.902298
109,1,Alabama,29-1248,"Surgeons, Except Ophthalmologists",560,124.09,66.43,#,#,#,#,"258,110","138,170",#,#,#,#,32.31823,-86.902298
110,1,Alabama,29-1292,Dental Hygienists,"3,790",23.12,16.69,20.19,23.58,27.03,29.40,"48,090","34,710","42,000","49,040","56,220","61,160",32.31823,-86.902298
111,1,Alabama,29-1298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",130,39.47,24.97,28.64,35.31,44.74,64.08,"82,100","51,940","59,560","73,450","93,060","133,290",32.31823,-86.902298
112,1,Alabama,29-2010,Clinical Laboratory Technologists and Technicians,"4,870",22.31,12.31,16.01,21.38,27.86,33.82,"46,400","25,600","33,300","44,480","57,950","70,350",32.31823,-86.902298
113,1,Alabama,29-2031,Cardiovascular Technologists and Technicians,**,23.81,11.02,14.41,23.95,30.88,37.39,"49,520","22,920","29,970","49,810","64,230","77,760",32.31823,-86.902298
114,1,Alabama,29-2032,Diagnostic Medical Sonographers,"1,110",27.15,19.16,22.57,27.20,31.38,36.71,"56,480","39,850","46,940","56,570","65,260","76,350",32.31823,-86.902298
115,1,Alabama,29-2033,Nuclear Medicine Technologists,390,30.33,21.52,26.15,30.66,35.56,38.58,"63,090","44,770","54,390","63,760","73,970","80,250",32.31823,-86.902298
116,1,Alabama,29-2034,Radiologic Technologists and Technicians,"3,570",22.73,15.29,18.46,22.35,27.05,31.17,"47,290","31,800","38,390","46,490","56,250","64,830",32.31823,-86.902298
117,1,Alabama,29-2035,Magnetic Resonance Imaging Technologists,650,28.76,20.67,25.40,28.83,33.58,37.52,"59,820","42,990","52,840","59,960","69,840","78,040",32.31823,-86.902298
118,1,Alabama,29-2040,Emergency Medical Technicians and Paramedics,"3,660",14.54,9.29,11.38,14.22,17.33,19.41,"30,240","19,310","23,680","29,570","36,040","40,370",32.31823,-86.902298
119,1,Alabama,29-2051,Dietetic Technicians,160,16.06,8.90,11.19,16.62,19.86,23.90,"33,400","18,510","23,270","34,580","41,300","49,720",32.31823,-86.902298
120,1,Alabama,29-2052,Pharmacy Technicians,"6,790",14.82,10.49,12.33,14.36,17.19,19.38,"30,830","21,820","25,650","29,880","35,760","40,310",32.31823,-86.902298
121,1,Alabama,29-2053,Psychiatric Technicians,"1,300",12.87,8.21,9.39,11.82,14.84,18.96,"26,760","17,080","19,520","24,590","30,880","39,450",32.31823,-86.902298
122,1,Alabama,29-2055,Surgical Technologists,"1,890",18.31,11.94,14.95,17.96,21.79,24.90,"38,090","24,830","31,100","37,350","45,320","51,790",32.31823,-86.902298
123,1,Alabama,29-2056,Veterinary Technologists and Technicians,"1,060",15.28,10.58,12.52,14.30,17.98,22.30,"31,780","22,010","26,040","29,750","37,400","46,390",32.31823,-86.902298
124,1,Alabama,29-2057,Ophthalmic Medical Technicians,830,17.04,11.77,13.64,16.68,20.29,23.43,"35,440","24,490","28,370","34,690","42,190","48,730",32.31823,-86.902298
125,1,Alabama,29-2061,Licensed Practical and Licensed Vocational Nurses,"12,400",18.90,13.80,16.29,18.78,21.98,24.09,"39,310","28,690","33,890","39,060","45,710","50,100",32.31823,-86.902298
126,1,Alabama,29-2081,"Opticians, Dispensing","1,050",15.41,10.38,12.30,14.49,18.36,22.38,"32,040","21,600","25,580","30,140","38,190","46,540",32.31823,-86.902298
127,1,Alabama,29-2091,Orthotists and Prosthetists,150,28.53,13.74,17.49,25.09,36.52,52.75,"59,340","28,570","36,380","52,180","75,960","109,720",32.31823,-86.902298
128,1,Alabama,29-2092,Hearing Aid Specialists,100,26.27,15.40,20.21,26.68,32.27,37.25,"54,630","32,030","42,030","55,490","67,120","77,480",32.31823,-86.902298
129,1,Alabama,29-2098,"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","4,160",18.93,11.28,13.65,17.08,22.49,29.59,"39,370","23,460","28,400","35,530","46,790","61,540",32.31823,-86.902298
130,1,Alabama,29-9091,Athletic Trainers,550,*,*,*,*,*,*,"43,520","27,000","34,440","42,650","49,920","61,410",32.31823,-86.902298
131,1,Alabama,29-9098,"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other",530,20.26,11.84,13.85,17.42,23.57,31.24,"42,150","24,630","28,810","36,230","49,020","64,990",32.31823,-86.902298
132,1,Alabama,31-1120,Home Health and Personal Care Aides,"19,440",9.60,7.93,8.41,9.21,10.47,11.94,"19,960","16,490","17,490","19,150","21,780","24,830",32.31823,-86.902298
133,1,Alabama,31-1131,Nursing Assistants,"22,750",11.82,9.01,10.20,11.40,13.02,15.21,"24,590","18,750","21,220","23,710","27,090","31,640",32.31823,-86.902298
134,1,Alabama,31-1132,Orderlies,930,11.51,8.88,10.00,11.24,12.66,14.54,"23,940","18,470","20,790","23,380","26,340","30,250",32.31823,-86.902298
135,1,Alabama,31-1133,Psychiatric Aides,"1,640",12.58,10.15,10.49,11.69,14.37,16.65,"26,170","21,110","21,820","24,310","29,890","34,630",32.31823,-86.902298
136,1,Alabama,31-2011,Occupational Therapy Assistants,520,29.69,21.68,25.73,30.22,34.50,37.88,"61,760","45,100","53,520","62,850","71,760","78,790",32.31823,-86.902298
137,1,Alabama,31-2021,Physical Therapist Assistants,"1,790",27.75,18.97,23.84,28.16,32.53,37.64,"57,730","39,450","49,590","58,580","67,660","78,300",32.31823,-86.902298
138,1,Alabama,31-2022,Physical Therapist Aides,970,13.11,9.02,10.30,11.77,13.91,18.43,"27,270","18,750","21,430","24,480","28,930","38,340",32.31823,-86.902298
139,1,Alabama,31-9011,Massage Therapists,430,17.14,9.07,10.95,17.07,20.33,25.08,"35,650","18,870","22,780","35,500","42,290","52,160",32.31823,-86.902298
140,1,Alabama,31-9091,Dental Assistants,"3,140",16.05,11.47,13.50,15.88,18.68,21.67,"33,390","23,870","28,080","33,020","38,860","45,080",32.31823,-86.902298
141,1,Alabama,31-9092,Medical Assistants,"9,580",14.05,10.16,11.76,13.74,15.84,18.98,"29,220","21,120","24,460","28,570","32,940","39,490",32.31823,-86.902298
142,1,Alabama,31-9093,Medical Equipment Preparers,"1,200",14.34,10.45,11.86,13.99,16.19,18.91,"29,820","21,730","24,680","29,100","33,670","39,330",32.31823,-86.902298
143,1,Alabama,31-9094,Medical Transcriptionists,720,15.66,10.18,12.85,15.68,18.21,20.99,"32,560","21,170","26,740","32,620","37,870","43,670",32.31823,-86.902298
144,1,Alabama,31-9095,Pharmacy Aides,520,11.99,8.46,9.25,10.42,14.38,18.21,"24,950","17,590","19,230","21,680","29,910","37,870",32.31823,-86.902298
145,1,Alabama,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,"1,450",11.47,8.35,9.45,10.88,13.09,15.54,"23,860","17,370","19,660","22,620","27,220","32,330",32.31823,-86.902298
146,1,Alabama,31-9097,Phlebotomists,"2,010",14.97,10.74,12.60,14.59,17.25,19.37,"31,140","22,350","26,200","30,340","35,890","40,280",32.31823,-86.902298
147,1,Alabama,31-9099,"Healthcare Support Workers, All Other",960,16.25,9.69,11.86,15.22,19.89,24.52,"33,800","20,150","24,670","31,670","41,370","51,000",32.31823,-86.902298
148,1,Alabama,41-1011,First-Line Supervisors of Retail Sales Workers,"21,830",20.27,11.52,14.10,17.99,24.38,30.80,"42,160","23,960","29,320","37,420","50,700","64,060",32.31823,-86.902298
149,1,Alabama,41-1012,First-Line Supervisors of Non-Retail Sales Workers,"2,760",35.83,19.07,23.57,30.02,42.39,58.93,"74,530","39,660","49,030","62,450","88,170","122,570",32.31823,-86.902298
150,1,Alabama,41-2011,Cashiers,"61,180",10.25,8.02,8.66,9.81,11.40,12.77,"21,320","16,670","18,020","20,400","23,700","26,570",32.31823,-86.902298
151,1,Alabama,41-2021,Counter and Rental Clerks,"6,040",12.97,8.31,9.44,12.12,15.43,18.99,"26,970","17,280","19,630","25,200","32,090","39,490",32.31823,-86.902298
152,1,Alabama,41-2022,Parts Salespersons,"3,750",16.05,9.12,11.11,14.81,19.50,25.50,"33,380","18,970","23,100","30,810","40,570","53,040",32.31823,-86.902298
153,1,Alabama,41-2031,Retail Salespersons,"64,130",12.78,8.18,9.10,10.99,14.06,19.26,"26,590","17,020","18,930","22,850","29,250","40,060",32.31823,-86.902298
154,1,Alabama,41-3011,Advertising Sales Agents,"1,370",23.09,10.52,13.63,18.89,31.55,41.61,"48,020","21,890","28,350","39,300","65,620","86,540",32.31823,-86.902298
