,Area_Code,State,Occupation_Code,Occupation_Title,Total_Employment,Mean_Hourly_Income,Hourly_10th_Percentile,Hourly_25th_Percentile,Median_Hourly_Income,Hourly_75th_Percentile,Hourly_90th_Percentile,Mean_Annual_Income,Annual_10th_Percentile,Annual_25th_Percentile,Median_Annual_Income,Annual_75th_Percentile,Annual_90th_Percentile
163,1,Alabama,23-1022,"Arbitrators, Mediators, and Conciliators",40,33.29,18.18,24.36,34.59,38.22,49.58,"69,250","37,810","50,670","71,950","79,500","103,120"
164,1,Alabama,23-1023,"Judges, Magistrate Judges, and Magistrates",530,28.04,12.82,16.50,21.76,34.09,56.07,"58,330","26,660","34,310","45,260","70,900","116,620"
165,1,Alabama,23-2011,Paralegals and Legal Assistants,"3,780",22.78,14.09,17.04,21.74,27.62,33.26,"47,380","29,300","35,440","45,210","57,440","69,170"
166,1,Alabama,23-2093,"Title Examiners, Abstractors, and Searchers",380,20.57,13.99,16.11,18.41,25.06,30.31,"42,790","29,100","33,510","38,300","52,120","63,040"
167,1,Alabama,23-2099,"Legal Support Workers, All Other",220,26.35,16.52,20.98,24.97,27.89,31.63,"54,810","34,370","43,630","51,930","58,020","65,790"
169,1,Alabama,25-1011,"Business Teachers, Postsecondary",860,*,*,*,*,*,*,"106,490","44,560","58,880","87,500","131,830","195,160"
170,1,Alabama,25-1021,"Computer Science Teachers, Postsecondary",520,*,*,*,*,*,*,"99,760","45,620","57,550","81,970","126,170","178,580"
171,1,Alabama,25-1022,"Mathematical Science Teachers, Postsecondary",810,*,*,*,*,*,*,"69,940","42,580","53,090","60,910","77,540","110,430"
172,1,Alabama,25-1032,"Engineering Teachers, Postsecondary",590,*,*,*,*,*,*,"113,200","60,800","83,670","102,660","129,070","172,270"
173,1,Alabama,25-1041,"Agricultural Sciences Teachers, Postsecondary",170,*,*,*,*,*,*,"96,090","49,710","73,000","95,550","118,460","140,930"
174,1,Alabama,25-1042,"Biological Science Teachers, Postsecondary","1,980",*,*,*,*,*,*,*,*,*,*,*,*
175,1,Alabama,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",50,*,*,*,*,*,*,"93,500","48,570","69,150","88,150","110,470","134,360"
176,1,Alabama,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",90,*,*,*,*,*,*,"84,490","47,040","57,550","72,450","92,500","124,440"
177,1,Alabama,25-1052,"Chemistry Teachers, Postsecondary",350,*,*,*,*,*,*,"81,380","44,580","55,140","73,940","98,460","126,890"
178,1,Alabama,25-1053,"Environmental Science Teachers, Postsecondary",40,*,*,*,*,*,*,"82,290","43,690","55,940","72,150","99,480","123,540"
179,1,Alabama,25-1054,"Physics Teachers, Postsecondary",180,*,*,*,*,*,*,"90,780","48,450","64,470","81,640","108,100","139,860"
180,1,Alabama,25-1061,"Anthropology and Archeology Teachers, Postsecondary",50,*,*,*,*,*,*,"77,910","45,540","58,090","72,810","91,540","120,600"
181,1,Alabama,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",70,*,*,*,*,*,*,"115,360","58,120","68,820","80,790","133,810",#
182,1,Alabama,25-1063,"Economics Teachers, Postsecondary",210,*,*,*,*,*,*,"129,360","60,600","83,500","111,530","152,320",#
183,1,Alabama,25-1064,"Geography Teachers, Postsecondary",30,*,*,*,*,*,*,"84,730","44,920","59,510","75,570","98,980","153,960"
184,1,Alabama,25-1065,"Political Science Teachers, Postsecondary",150,*,*,*,*,*,*,"78,090","52,610","64,420","74,980","90,540","111,980"
185,1,Alabama,25-1066,"Psychology Teachers, Postsecondary",480,*,*,*,*,*,*,"78,070","43,970","55,420","68,700","89,310","128,810"
186,1,Alabama,25-1067,"Sociology Teachers, Postsecondary",150,*,*,*,*,*,*,"62,480","42,830","49,150","58,770","73,340","90,430"
187,1,Alabama,25-1069,"Social Sciences Teachers, Postsecondary, All Other",50,*,*,*,*,*,*,"87,880","59,860","69,290","80,220","103,970","126,500"
188,1,Alabama,25-1071,"Health Specialties Teachers, Postsecondary","1,850",*,*,*,*,*,*,"104,740","41,150","57,000","90,380","133,120","186,570"
189,1,Alabama,25-1072,"Nursing Instructors and Teachers, Postsecondary","1,240",*,*,*,*,*,*,"71,020","30,510","51,840","69,360","91,070","111,060"
190,1,Alabama,25-1081,"Education Teachers, Postsecondary",810,*,*,*,*,*,*,"74,580","45,470","56,410","68,310","83,870","109,200"
191,1,Alabama,25-1082,"Library Science Teachers, Postsecondary",160,*,*,*,*,*,*,"84,870","52,720","58,540","70,430","86,700","106,830"
192,1,Alabama,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",120,*,*,*,*,*,*,"69,900","42,020","54,030","68,180","80,630","108,790"
193,1,Alabama,25-1112,"Law Teachers, Postsecondary",70,*,*,*,*,*,*,"151,350","86,350","105,460","126,800","185,480",#
194,1,Alabama,25-1113,"Social Work Teachers, Postsecondary",200,*,*,*,*,*,*,"67,920","44,530","53,440","61,780","77,360","100,670"
195,1,Alabama,25-1121,"Art, Drama, and Music Teachers, Postsecondary",840,*,*,*,*,*,*,"67,240","41,550","50,410","61,560","78,000","98,670"
196,1,Alabama,25-1122,"Communications Teachers, Postsecondary",270,*,*,*,*,*,*,"64,140","40,510","49,360","59,990","74,920","97,360"
197,1,Alabama,25-1123,"English Language and Literature Teachers, Postsecondary","1,100",*,*,*,*,*,*,"59,230","40,610","46,460","56,660","68,530","82,560"
198,1,Alabama,25-1124,"Foreign Language and Literature Teachers, Postsecondary",120,*,*,*,*,*,*,"63,310","40,550","48,780","59,410","73,660","86,960"
199,1,Alabama,25-1125,"History Teachers, Postsecondary",370,*,*,*,*,*,*,"68,830","44,330","53,970","64,920","77,540","95,160"
200,1,Alabama,25-1126,"Philosophy and Religion Teachers, Postsecondary",160,*,*,*,*,*,*,"64,990","37,650","48,030","60,810","74,930","96,320"
201,1,Alabama,25-1192,"Family and Consumer Sciences Teachers, Postsecondary",150,*,*,*,*,*,*,"74,750","51,880","64,040","73,470","85,020","99,290"
202,1,Alabama,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",290,*,*,*,*,*,*,"66,730","41,290","53,060","65,070","78,550","98,260"
203,1,Alabama,25-1194,"Career/Technical Education Teachers, Postsecondary","1,840",25.79,14.13,19.25,25.87,30.57,37.31,"53,650","29,390","40,030","53,820","63,580","77,610"
204,1,Alabama,25-1199,"Postsecondary Teachers, All Other","1,600",*,*,*,*,*,*,"51,230","16,980","18,450","40,170","71,490","89,020"
205,1,Alabama,25-2011,"Preschool Teachers, Except Special Education","4,050",11.76,7.88,8.60,10.29,13.40,18.11,"24,470","16,390","17,890","21,390","27,870","37,680"
206,1,Alabama,25-2012,"Kindergarten Teachers, Except Special Education",**,*,*,*,*,*,*,"46,190","35,170","40,850","45,840","50,930","60,090"
207,1,Alabama,25-2021,"Elementary School Teachers, Except Special Education","23,650",*,*,*,*,*,*,"50,270","38,520","43,850","51,170","58,220","62,440"
208,1,Alabama,25-2022,"Middle School Teachers, Except Special and Career/Technical Education","10,310",*,*,*,*,*,*,"51,600","40,060","45,200","52,830","59,070","62,820"
209,1,Alabama,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education","15,230",*,*,*,*,*,*,"51,950","39,960","44,820","52,240","59,190","63,490"
210,1,Alabama,25-2032,"Career/Technical Education Teachers, Secondary School",**,*,*,*,*,*,*,"63,600","40,050","46,830","58,420","86,390","96,380"
211,1,Alabama,25-2051,"Special Education Teachers, Preschool",150,*,*,*,*,*,*,"46,820","33,350","38,790","46,950","56,050","61,830"
212,1,Alabama,25-2052,"Special Education Teachers, Kindergarten and Elementary School",900,*,*,*,*,*,*,"50,520","33,310","43,400","52,550","59,360","63,510"
213,1,Alabama,25-2057,"Special Education Teachers, Middle School",410,*,*,*,*,*,*,"53,730","39,380","48,050","54,990","60,260","63,460"
214,1,Alabama,25-2058,"Special Education Teachers, Secondary School",560,*,*,*,*,*,*,"48,250","29,850","39,140","50,630","58,230","62,730"
215,1,Alabama,25-2059,"Special Education Teachers, All Other",50,*,*,*,*,*,*,"59,530","39,710","53,140","61,230","69,380","73,460"
216,1,Alabama,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",520,18.71,8.90,10.99,18.28,24.66,29.55,"38,920","18,510","22,850","38,020","51,290","61,460"
217,1,Alabama,25-3021,Self-Enrichment Teachers,"1,880",20.80,9.37,12.82,18.51,27.51,36.14,"43,270","19,490","26,670","38,490","57,220","75,170"
218,1,Alabama,25-3031,"Substitute Teachers, Short-Term","7,580",9.50,7.75,8.09,8.66,9.23,9.75,"19,760","16,110","16,820","18,010","19,190","20,280"
219,1,Alabama,25-3097,"Tutors and Teachers and Instructors, All Other","3,210",*,*,*,*,*,*,"47,630","19,770","27,450","48,830","61,830","77,320"
220,1,Alabama,25-4011,Archivists,70,24.29,13.83,17.28,20.67,30.63,36.19,"50,530","28,770","35,950","42,990","63,720","75,280"
221,1,Alabama,25-4012,Curators,110,27.80,17.39,21.17,26.91,31.92,39.07,"57,830","36,180","44,040","55,960","66,400","81,260"
222,1,Alabama,25-4013,Museum Technicians and Conservators,100,20.67,13.13,15.60,20.17,24.03,30.01,"43,000","27,320","32,440","41,950","49,980","62,420"
223,1,Alabama,25-4022,Librarians and Media Collections Specialists,"2,540",25.33,15.04,22.24,26.70,29.43,31.58,"52,690","31,290","46,260","55,530","61,220","65,680"
224,1,Alabama,25-4031,Library Technicians,940,14.94,9.45,11.14,14.09,17.94,22.21,"31,070","19,660","23,170","29,310","37,310","46,190"
225,1,Alabama,25-9021,Farm and Home Management Educators,420,27.72,16.92,20.93,27.24,34.45,39.60,"57,660","35,200","43,540","56,650","71,650","82,360"
226,1,Alabama,25-9031,Instructional Coordinators,"1,870",33.31,15.23,24.99,34.66,42.33,48.09,"69,290","31,670","51,980","72,090","88,050","100,030"
227,1,Alabama,25-9044,"Teaching Assistants, Postsecondary",340,*,*,*,*,*,*,"30,260","16,600","18,610","28,520","38,430","47,300"
228,1,Alabama,25-9045,"Teaching Assistants, Except Postsecondary","9,140",*,*,*,*,*,*,"21,800","16,590","18,120","20,840","24,090","29,140"
229,1,Alabama,25-9099,"Educational Instruction and Library Workers, All Other","1,820",19.90,8.25,9.26,16.18,23.93,30.14,"41,390","17,160","19,260","33,660","49,770","62,680"
264,1,Alabama,29-1011,Chiropractors,310,42.92,18.70,23.02,34.87,50.23,77.80,"89,280","38,890","47,880","72,540","104,490","161,830"
265,1,Alabama,29-1021,"Dentists, General","1,170",75.50,31.46,49.96,69.14,94.60,#,"157,040","65,430","103,920","143,810","196,770",#
266,1,Alabama,29-1031,Dietitians and Nutritionists,750,26.95,19.68,22.51,26.91,31.31,36.39,"56,050","40,930","46,810","55,960","65,130","75,700"
267,1,Alabama,29-1041,Optometrists,460,55.48,20.08,32.71,49.09,69.22,95.35,"115,400","41,770","68,040","102,100","143,970","198,330"
268,1,Alabama,29-1051,Pharmacists,"4,700",61.28,49.28,54.24,60.62,69.62,77.27,"127,460","102,500","112,820","126,100","144,820","160,710"
269,1,Alabama,29-1071,Physician Assistants,730,43.31,19.05,39.24,44.44,49.47,61.43,"90,080","39,630","81,610","92,430","102,900","127,770"
270,1,Alabama,29-1081,Podiatrists,100,68.84,28.71,43.67,60.61,77.04,#,"143,180","59,720","90,830","126,070","160,240",#
271,1,Alabama,29-1122,Occupational Therapists,"1,310",41.23,27.53,33.55,40.82,48.58,58.19,"85,760","57,250","69,780","84,900","101,040","121,040"
272,1,Alabama,29-1123,Physical Therapists,"2,770",44.51,30.29,35.79,43.73,53.36,61.74,"92,570","63,000","74,450","90,960","110,990","128,420"
273,1,Alabama,29-1124,Radiation Therapists,490,42.25,25.09,31.76,36.78,45.19,58.18,"87,880","52,200","66,060","76,500","94,000","121,020"
274,1,Alabama,29-1125,Recreational Therapists,140,21.11,13.68,16.55,20.50,25.38,29.52,"43,900","28,460","34,420","42,640","52,800","61,410"
275,1,Alabama,29-1126,Respiratory Therapists,"2,240",25.06,18.89,21.15,24.30,28.86,33.17,"52,110","39,280","43,990","50,550","60,030","68,990"
276,1,Alabama,29-1127,Speech-Language Pathologists,"1,700",32.81,21.61,25.65,29.57,38.27,49.26,"68,230","44,960","53,360","61,510","79,590","102,470"
277,1,Alabama,29-1128,Exercise Physiologists,80,22.46,16.11,19.76,22.01,24.34,29.46,"46,720","33,510","41,110","45,780","50,630","61,280"
278,1,Alabama,29-1129,"Therapists, All Other",80,22.51,16.00,17.26,19.77,26.41,29.70,"46,820","33,270","35,900","41,120","54,930","61,780"
279,1,Alabama,29-1131,Veterinarians,980,47.50,25.43,32.31,43.51,56.87,76.25,"98,790","52,890","67,210","90,510","118,290","158,610"
280,1,Alabama,29-1141,Registered Nurses,"49,190",28.96,20.84,24.02,28.27,33.40,38.26,"60,230","43,350","49,960","58,800","69,480","79,590"
281,1,Alabama,29-1151,Nurse Anesthetists,"1,200",75.69,43.36,62.28,74.85,89.86,#,"157,430","90,190","129,530","155,680","186,920",#
282,1,Alabama,29-1171,Nurse Practitioners,"3,800",47.87,34.45,41.17,46.38,54.13,62.15,"99,570","71,660","85,630","96,470","112,600","129,270"
283,1,Alabama,29-1181,Audiologists,110,34.98,24.62,27.78,34.69,41.49,47.91,"72,760","51,210","57,790","72,160","86,300","99,660"
284,1,Alabama,29-1211,Anesthesiologists,270,131.86,75.84,#,#,#,#,"274,260","157,740",#,#,#,#
285,1,Alabama,29-1215,Family Medicine Physicians,730,113.49,55.34,79.24,#,#,#,"236,060","115,110","164,810",#,#,#
286,1,Alabama,29-1216,General Internal Medicine Physicians,220,102.78,39.58,61.89,#,#,#,"213,790","82,340","128,730",#,#,#
287,1,Alabama,29-1218,Obstetricians and Gynecologists,150,#,#,#,#,#,#,#,#,#,#,#,#
288,1,Alabama,29-1221,"Pediatricians, General",490,102.99,42.01,67.63,99.72,#,#,"214,220","87,370","140,670","207,420",#,#
289,1,Alabama,29-1223,Psychiatrists,230,80.93,47.01,65.71,73.29,92.09,#,"168,340","97,780","136,670","152,430","191,540",#
290,1,Alabama,29-1228,"Physicians, All Other; and Ophthalmologists, Except Pediatric","4,650",94.54,27.58,51.55,94.11,#,#,"196,650","57,370","107,230","195,750",#,#
291,1,Alabama,29-1248,"Surgeons, Except Ophthalmologists",560,124.09,66.43,#,#,#,#,"258,110","138,170",#,#,#,#
292,1,Alabama,29-1292,Dental Hygienists,"3,790",23.12,16.69,20.19,23.58,27.03,29.40,"48,090","34,710","42,000","49,040","56,220","61,160"
293,1,Alabama,29-1298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",130,39.47,24.97,28.64,35.31,44.74,64.08,"82,100","51,940","59,560","73,450","93,060","133,290"
294,1,Alabama,29-2010,Clinical Laboratory Technologists and Technicians,"4,870",22.31,12.31,16.01,21.38,27.86,33.82,"46,400","25,600","33,300","44,480","57,950","70,350"
295,1,Alabama,29-2031,Cardiovascular Technologists and Technicians,**,23.81,11.02,14.41,23.95,30.88,37.39,"49,520","22,920","29,970","49,810","64,230","77,760"
296,1,Alabama,29-2032,Diagnostic Medical Sonographers,"1,110",27.15,19.16,22.57,27.20,31.38,36.71,"56,480","39,850","46,940","56,570","65,260","76,350"
297,1,Alabama,29-2033,Nuclear Medicine Technologists,390,30.33,21.52,26.15,30.66,35.56,38.58,"63,090","44,770","54,390","63,760","73,970","80,250"
298,1,Alabama,29-2034,Radiologic Technologists and Technicians,"3,570",22.73,15.29,18.46,22.35,27.05,31.17,"47,290","31,800","38,390","46,490","56,250","64,830"
299,1,Alabama,29-2035,Magnetic Resonance Imaging Technologists,650,28.76,20.67,25.40,28.83,33.58,37.52,"59,820","42,990","52,840","59,960","69,840","78,040"
300,1,Alabama,29-2040,Emergency Medical Technicians and Paramedics,"3,660",14.54,9.29,11.38,14.22,17.33,19.41,"30,240","19,310","23,680","29,570","36,040","40,370"
301,1,Alabama,29-2051,Dietetic Technicians,160,16.06,8.90,11.19,16.62,19.86,23.90,"33,400","18,510","23,270","34,580","41,300","49,720"
302,1,Alabama,29-2052,Pharmacy Technicians,"6,790",14.82,10.49,12.33,14.36,17.19,19.38,"30,830","21,820","25,650","29,880","35,760","40,310"
303,1,Alabama,29-2053,Psychiatric Technicians,"1,300",12.87,8.21,9.39,11.82,14.84,18.96,"26,760","17,080","19,520","24,590","30,880","39,450"
304,1,Alabama,29-2055,Surgical Technologists,"1,890",18.31,11.94,14.95,17.96,21.79,24.90,"38,090","24,830","31,100","37,350","45,320","51,790"
305,1,Alabama,29-2056,Veterinary Technologists and Technicians,"1,060",15.28,10.58,12.52,14.30,17.98,22.30,"31,780","22,010","26,040","29,750","37,400","46,390"
306,1,Alabama,29-2057,Ophthalmic Medical Technicians,830,17.04,11.77,13.64,16.68,20.29,23.43,"35,440","24,490","28,370","34,690","42,190","48,730"
307,1,Alabama,29-2061,Licensed Practical and Licensed Vocational Nurses,"12,400",18.90,13.80,16.29,18.78,21.98,24.09,"39,310","28,690","33,890","39,060","45,710","50,100"
308,1,Alabama,29-2081,"Opticians, Dispensing","1,050",15.41,10.38,12.30,14.49,18.36,22.38,"32,040","21,600","25,580","30,140","38,190","46,540"
309,1,Alabama,29-2091,Orthotists and Prosthetists,150,28.53,13.74,17.49,25.09,36.52,52.75,"59,340","28,570","36,380","52,180","75,960","109,720"
310,1,Alabama,29-2092,Hearing Aid Specialists,100,26.27,15.40,20.21,26.68,32.27,37.25,"54,630","32,030","42,030","55,490","67,120","77,480"
311,1,Alabama,29-2098,"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","4,160",18.93,11.28,13.65,17.08,22.49,29.59,"39,370","23,460","28,400","35,530","46,790","61,540"
312,1,Alabama,29-9091,Athletic Trainers,550,*,*,*,*,*,*,"43,520","27,000","34,440","42,650","49,920","61,410"
313,1,Alabama,29-9098,"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other",530,20.26,11.84,13.85,17.42,23.57,31.24,"42,150","24,630","28,810","36,230","49,020","64,990"
315,1,Alabama,31-1120,Home Health and Personal Care Aides,"19,440",9.60,7.93,8.41,9.21,10.47,11.94,"19,960","16,490","17,490","19,150","21,780","24,830"
316,1,Alabama,31-1131,Nursing Assistants,"22,750",11.82,9.01,10.20,11.40,13.02,15.21,"24,590","18,750","21,220","23,710","27,090","31,640"
317,1,Alabama,31-1132,Orderlies,930,11.51,8.88,10.00,11.24,12.66,14.54,"23,940","18,470","20,790","23,380","26,340","30,250"
318,1,Alabama,31-1133,Psychiatric Aides,"1,640",12.58,10.15,10.49,11.69,14.37,16.65,"26,170","21,110","21,820","24,310","29,890","34,630"
319,1,Alabama,31-2011,Occupational Therapy Assistants,520,29.69,21.68,25.73,30.22,34.50,37.88,"61,760","45,100","53,520","62,850","71,760","78,790"
320,1,Alabama,31-2021,Physical Therapist Assistants,"1,790",27.75,18.97,23.84,28.16,32.53,37.64,"57,730","39,450","49,590","58,580","67,660","78,300"
321,1,Alabama,31-2022,Physical Therapist Aides,970,13.11,9.02,10.30,11.77,13.91,18.43,"27,270","18,750","21,430","24,480","28,930","38,340"
322,1,Alabama,31-9011,Massage Therapists,430,17.14,9.07,10.95,17.07,20.33,25.08,"35,650","18,870","22,780","35,500","42,290","52,160"
323,1,Alabama,31-9091,Dental Assistants,"3,140",16.05,11.47,13.50,15.88,18.68,21.67,"33,390","23,870","28,080","33,020","38,860","45,080"
324,1,Alabama,31-9092,Medical Assistants,"9,580",14.05,10.16,11.76,13.74,15.84,18.98,"29,220","21,120","24,460","28,570","32,940","39,490"
325,1,Alabama,31-9093,Medical Equipment Preparers,"1,200",14.34,10.45,11.86,13.99,16.19,18.91,"29,820","21,730","24,680","29,100","33,670","39,330"
326,1,Alabama,31-9094,Medical Transcriptionists,720,15.66,10.18,12.85,15.68,18.21,20.99,"32,560","21,170","26,740","32,620","37,870","43,670"
327,1,Alabama,31-9095,Pharmacy Aides,520,11.99,8.46,9.25,10.42,14.38,18.21,"24,950","17,590","19,230","21,680","29,910","37,870"
328,1,Alabama,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,"1,450",11.47,8.35,9.45,10.88,13.09,15.54,"23,860","17,370","19,660","22,620","27,220","32,330"
329,1,Alabama,31-9097,Phlebotomists,"2,010",14.97,10.74,12.60,14.59,17.25,19.37,"31,140","22,350","26,200","30,340","35,890","40,280"
330,1,Alabama,31-9099,"Healthcare Support Workers, All Other",960,16.25,9.69,11.86,15.22,19.89,24.52,"33,800","20,150","24,670","31,670","41,370","51,000"
407,1,Alabama,41-1011,First-Line Supervisors of Retail Sales Workers,"21,830",20.27,11.52,14.10,17.99,24.38,30.80,"42,160","23,960","29,320","37,420","50,700","64,060"
408,1,Alabama,41-1012,First-Line Supervisors of Non-Retail Sales Workers,"2,760",35.83,19.07,23.57,30.02,42.39,58.93,"74,530","39,660","49,030","62,450","88,170","122,570"
409,1,Alabama,41-2011,Cashiers,"61,180",10.25,8.02,8.66,9.81,11.40,12.77,"21,320","16,670","18,020","20,400","23,700","26,570"
410,1,Alabama,41-2021,Counter and Rental Clerks,"6,040",12.97,8.31,9.44,12.12,15.43,18.99,"26,970","17,280","19,630","25,200","32,090","39,490"
411,1,Alabama,41-2022,Parts Salespersons,"3,750",16.05,9.12,11.11,14.81,19.50,25.50,"33,380","18,970","23,100","30,810","40,570","53,040"
412,1,Alabama,41-2031,Retail Salespersons,"64,130",12.78,8.18,9.10,10.99,14.06,19.26,"26,590","17,020","18,930","22,850","29,250","40,060"
413,1,Alabama,41-3011,Advertising Sales Agents,"1,370",23.09,10.52,13.63,18.89,31.55,41.61,"48,020","21,890","28,350","39,300","65,620","86,540"
414,1,Alabama,41-3021,Insurance Sales Agents,"5,630",36.57,12.98,17.09,27.71,43.88,65.16,"76,070","27,000","35,550","57,640","91,270","135,530"
415,1,Alabama,41-3031,"Securities, Commodities, and Financial Services Sales Agents","2,640",35.22,16.29,18.30,23.73,38.12,65.39,"73,250","33,890","38,060","49,370","79,290","136,010"
416,1,Alabama,41-3041,Travel Agents,400,20.78,13.50,15.91,18.95,24.39,30.96,"43,220","28,070","33,100","39,410","50,730","64,400"
417,1,Alabama,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","8,090",27.22,12.83,16.70,23.71,33.39,49.68,"56,620","26,680","34,730","49,320","69,450","103,340"
418,1,Alabama,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","2,460",38.96,16.89,24.13,34.70,51.44,68.03,"81,030","35,130","50,190","72,170","106,980","141,490"
419,1,Alabama,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","22,050",31.49,14.73,19.16,26.96,38.41,54.88,"65,490","30,630","39,860","56,080","79,890","114,150"
420,1,Alabama,41-9011,Demonstrators and Product Promoters,**,13.96,10.21,10.89,12.02,15.74,19.41,"29,040","21,250","22,660","25,010","32,750","40,370"
421,1,Alabama,41-9021,Real Estate Brokers,240,24.43,15.14,17.41,21.97,27.64,37.62,"50,810","31,490","36,210","45,700","57,480","78,250"
422,1,Alabama,41-9022,Real Estate Sales Agents,"1,810",25.63,9.17,17.16,24.18,30.18,41.00,"53,300","19,070","35,700","50,300","62,780","85,280"
423,1,Alabama,41-9031,Sales Engineers,300,44.66,26.91,30.57,40.44,53.50,71.97,"92,890","55,970","63,580","84,120","111,290","149,690"
424,1,Alabama,41-9041,Telemarketers,"1,810",13.40,8.56,9.80,11.71,16.77,21.47,"27,870","17,810","20,380","24,350","34,890","44,660"
425,1,Alabama,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",50,10.59,8.12,9.07,10.46,12.08,13.70,"22,030","16,900","18,860","21,760","25,120","28,500"
781,2,Alaska,15-1211,Computer Systems Analysts,680,35.09,17.51,21.32,34.52,46.24,55.97,"72,980","36,420","44,340","71,810","96,180","116,420"
782,2,Alaska,15-1212,Information Security Analysts,70,46.63,28.69,33.73,41.96,58.71,75.42,"97,000","59,680","70,150","87,270","122,110","156,880"
783,2,Alaska,15-1231,Computer Network Support Specialists,400,28.69,16.41,20.58,27.55,35.76,45.36,"59,670","34,130","42,810","57,300","74,390","94,350"
784,2,Alaska,15-1232,Computer User Support Specialists,730,28.50,19.86,22.63,26.71,32.46,39.87,"59,270","41,320","47,080","55,550","67,520","82,940"
785,2,Alaska,15-1241,Computer Network Architects,80,45.06,17.97,33.33,47.03,57.78,68.51,"93,730","37,380","69,330","97,820","120,170","142,510"
786,2,Alaska,15-1244,Network and Computer Systems Administrators,880,38.35,24.36,29.85,36.78,46.20,56.34,"79,760","50,660","62,090","76,500","96,090","117,190"
787,2,Alaska,15-1245,Database Administrators and Architects,190,41.80,26.38,32.07,41.45,50.35,59.79,"86,940","54,870","66,700","86,210","104,720","124,360"
